MF: initial setting 0
diff_p:0.376742 diff_q:0.391955 diff:0.768696 step43 L:17793.5
diff_p:0.371316 diff_q:0.387699 diff:0.759014 step44 L:17499.2
diff_p:0.366021 diff_q:0.383471 diff:0.749492 step45 L:17212
diff_p:0.360848 diff_q:0.379271 diff:0.740119 step46 L:16931.6
diff_p:0.355792 diff_q:0.375097 diff:0.730888 step47 L:16657.9
diff_p:0.350845 diff_q:0.370949 diff:0.721793 step48 L:16390.8
diff_p:0.346002 diff_q:0.366828 diff:0.712829 step49 L:16129.9
diff_p:0.341259 diff_q:0.362735 diff:0.703993 step50 L:15875.3
diff_p:0.336612 diff_q:0.35867 diff:0.695282 step51 L:15626.8
error = 15688.8, step = 51
roctxtFile successfully  renamed
/home/af20036/seminar/codes/../../RESULT/MF/MF_movie100k40000/48_0.01_0.001/ROC/choice/MFROC40000_0sort.txt
MF: initial setting 0
diff_p:33.0335 diff_q:32.2825 diff:65.3159 step0 L:175594
diff_p:5.05255 diff_q:6.35493 diff:11.4075 step1 L:105178
diff_p:3.15187 diff_q:3.94735 diff:7.09921 step2 L:77367.7
diff_p:2.3374 diff_q:2.77 diff:5.1074 step3 L:63312.1
diff_p:1.88219 diff_q:2.10056 diff:3.98274 step4 L:55004.4
diff_p:1.59341 diff_q:1.68332 diff:3.27673 step5 L:49502.7
diff_p:1.39326 diff_q:1.4031 diff:2.79636 step6 L:45553.9
diff_p:1.24556 diff_q:1.2045 diff:2.45006 step7 L:42549.8
diff_p:1.1315 diff_q:1.05838 diff:2.18988 step8 L:40162.4
diff_p:1.04035 diff_q:0.947885 diff:1.98824 step9 L:38199.8
diff_p:0.96556 diff_q:0.862534 diff:1.82809 step10 L:36542.9
diff_p:0.902886 diff_q:0.795402 diff:1.69829 step11 L:35113.5
diff_p:0.849485 diff_q:0.741742 diff:1.59123 step12 L:33858.8
diff_p:0.80337 diff_q:0.698205 diff:1.50157 step13 L:32741.1
diff_p:0.763109 diff_q:0.662387 diff:1.4255 step14 L:31733.4
diff_p:0.727642 diff_q:0.632535 diff:1.36018 step15 L:30815.5
diff_p:0.696163 diff_q:0.60735 diff:1.30351 step16 L:29972.1
diff_p:0.668048 diff_q:0.585866 diff:1.25391 step17 L:29191.1
diff_p:0.642797 diff_q:0.567346 diff:1.21014 step18 L:28463.2
diff_p:0.62001 diff_q:0.551227 diff:1.17124 step19 L:27780.8
diff_p:0.599355 diff_q:0.537072 diff:1.13643 step20 L:27137.9
diff_p:0.580558 diff_q:0.524535 diff:1.10509 step21 L:26529.4
diff_p:0.563385 diff_q:0.513341 diff:1.07673 step22 L:25951.2
diff_p:0.547638 diff_q:0.503269 diff:1.05091 step23 L:25399.9
diff_p:0.533146 diff_q:0.494135 diff:1.02728 step24 L:24872.5
diff_p:0.519761 diff_q:0.485791 diff:1.00555 step25 L:24366.7
diff_p:0.507352 diff_q:0.478112 diff:0.985464 step26 L:23880.3
diff_p:0.495807 diff_q:0.470992 diff:0.9668 step27 L:23411.6
diff_p:0.485026 diff_q:0.464344 diff:0.94937 step28 L:22959.2
diff_p:0.474921 diff_q:0.458093 diff:0.933014 step29 L:22521.7
diff_p:0.465414 diff_q:0.452175 diff:0.917588 step30 L:22098
diff_p:0.456437 diff_q:0.446536 diff:0.902972 step31 L:21687.2
diff_p:0.447929 diff_q:0.44113 diff:0.889059 step32 L:21288.5
diff_p:0.439838 diff_q:0.435919 diff:0.875757 step33 L:20901.2
diff_p:0.432118 diff_q:0.430869 diff:0.862987 step34 L:20524.7
diff_p:0.424727 diff_q:0.425953 diff:0.85068 step35 L:20158.3
diff_p:0.417631 diff_q:0.421149 diff:0.83878 step36 L:19801.8
diff_p:0.410798 diff_q:0.416437 diff:0.827235 step37 L:19454.6
diff_p:0.404203 diff_q:0.411802 diff:0.816005 step38 L:19116.3
diff_p:0.397823 diff_q:0.407232 diff:0.805055 step39 L:18786.7
diff_p:0.391637 diff_q:0.402717 diff:0.794354 step40 L:18465.5
diff_p:0.38563 diff_q:0.39825 diff:0.78388 step41 L:18152.3
diff_p:0.379788 diff_q:0.393825 diff:0.773613 step42 L:17847
diff_p:0.374098 diff_q:0.389438 diff:0.763536 step43 L:17549.2
diff_p:0.368551 diff_q:0.385087 diff:0.753638 step44 L:17258.8
diff_p:0.363138 diff_q:0.38077 diff:0.743908 step45 L:16975.6
diff_p:0.357851 diff_q:0.376487 diff:0.734338 step46 L:16699.4
diff_p:0.352686 diff_q:0.372237 diff:0.724923 step47 L:16429.9
diff_p:0.347635 diff_q:0.368022 diff:0.715657 step48 L:16167
diff_p:0.342696 diff_q:0.363841 diff:0.706537 step49 L:15910.5
diff_p:0.337863 diff_q:0.359697 diff:0.69756 step50 L:15660.3
error = 15722.4, step = 50
MF: initial setting 1
diff_p:33.29 diff_q:32.2077 diff:65.4978 step0 L:177773
diff_p:5.07974 diff_q:6.40411 diff:11.4838 step1 L:106524
diff_p:3.16306 diff_q:3.98534 diff:7.1484 step2 L:78271.3
diff_p:2.34376 diff_q:2.79907 diff:5.14283 step3 L:63965.6
diff_p:1.8872 diff_q:2.1232 diff:4.01039 step4 L:55507.3
diff_p:1.59795 diff_q:1.7013 diff:3.29925 step5 L:49909.1
diff_p:1.39752 diff_q:1.41745 diff:2.81497 step6 L:45895.5
diff_p:1.24958 diff_q:1.21591 diff:2.46549 step7 L:42846.2
diff_p:1.13531 diff_q:1.06738 diff:2.20268 step8 L:40426.3
diff_p:1.04398 diff_q:0.954954 diff:1.99893 step9 L:38439.7
diff_p:0.969019 diff_q:0.868086 diff:1.8371 step10 L:36764.4
diff_p:0.9062 diff_q:0.799777 diff:1.70598 step11 L:35320.8
diff_p:0.852664 diff_q:0.74521 diff:1.59787 step12 L:34054.4
diff_p:0.806416 diff_q:0.700975 diff:1.50739 step13 L:32927.3
diff_p:0.766021 diff_q:0.664617 diff:1.43064 step14 L:31911.6
diff_p:0.730417 diff_q:0.63434 diff:1.36476 step15 L:30987
diff_p:0.698795 diff_q:0.608821 diff:1.30762 step16 L:30137.7
diff_p:0.670529 diff_q:0.587067 diff:1.2576 step17 L:29351.7
diff_p:0.645123 diff_q:0.568328 diff:1.21345 step18 L:28619.5
diff_p:0.622175 diff_q:0.55203 diff:1.17421 step19 L:27933.4
diff_p:0.601356 diff_q:0.537727 diff:1.13908 step20 L:27287.2
diff_p:0.582393 diff_q:0.525069 diff:1.10746 step21 L:26675.9
diff_p:0.565054 diff_q:0.513777 diff:1.07883 step22 L:26095.3
diff_p:0.549143 diff_q:0.503626 diff:1.05277 step23 L:25541.9
diff_p:0.534492 diff_q:0.494432 diff:1.02892 step24 L:25012.7
diff_p:0.520955 diff_q:0.486045 diff:1.007 step25 L:24505.4
diff_p:0.508403 diff_q:0.478339 diff:0.986743 step26 L:24017.7
diff_p:0.496727 diff_q:0.471209 diff:0.967937 step27 L:23547.9
diff_p:0.485828 diff_q:0.464567 diff:0.950395 step28 L:23094.5
diff_p:0.47562 diff_q:0.458336 diff:0.933957 step29 L:22656.1
diff_p:0.466027 diff_q:0.452454 diff:0.918482 step30 L:22231.6
diff_p:0.456982 diff_q:0.446866 diff:0.903848 step31 L:21820.1
diff_p:0.448425 diff_q:0.441525 diff:0.88995 step32 L:21420.7
diff_p:0.440303 diff_q:0.436392 diff:0.876696 step33 L:21032.6
diff_p:0.432571 diff_q:0.431434 diff:0.864004 step34 L:20655.3
diff_p:0.425186 diff_q:0.42662 diff:0.851806 step35 L:20288.1
diff_p:0.418113 diff_q:0.421928 diff:0.840042 step36 L:19930.6
diff_p:0.411321 diff_q:0.417338 diff:0.828659 step37 L:19582.3
diff_p:0.404781 diff_q:0.412831 diff:0.817612 step38 L:19242.8
diff_p:0.398469 diff_q:0.408396 diff:0.806865 step39 L:18911.9
